,t,D1,D2,S1,S2,Q1,Q2,I,x1,x2,x3,C,G
0,0.0,-4.155870291520599e-25,-8.311740583011106e-25,478.7400334319552,478.7400334319552,65.33333333333334,0.8158574480246741,7.508940859400765,0.0009010729031280918,0.006157331504708628,0.3904649246888398,5.833333333333334,105.00000000000001
1,1.0,-4.053264670303275e-25,-8.207854892489512e-25,501.97327367058807,478.9511028881166,65.33333331704004,0.8158574480872656,7.509092662407556,0.000901072934713611,0.006157333639204697,0.390464992786418,5.833333333316089,105.00000000000001
2,2.0,-3.95319242291776e-25,-8.104032467406667e-25,524.7878973655492,479.57317614773115,65.33333287831385,0.8158574497815275,7.510080254875274,0.0009010733330478261,0.0061573602208325395,0.390465846757482,5.833333332299076,104.9999999996896
3,3.0,-3.8555909657375224e-25,-8.000333520285248e-25,547.1914523652244,480.5913676768914,65.33333014123755,0.8158574603971319,7.512611258912412,0.0009010749591936309,0.006157467386402915,0.3904693134288908,5.833333322715639,104.99999998138337
4,4.0,-3.760399267790415e-25,-7.896815248603096e-25,569.1913494060689,481.99119629420187,65.33332055461892,0.8158574977176065,7.517272388739115,0.0009010791324520524,0.006157738798077255,0.39047815724546625,5.833333277693537,104.9999998088815
5,5.0,-3.667557812584435e-25,-7.7935319472279175e-25,590.7948645527475,483.7585754630352,65.333295933082,0.8158575938701988,7.524545854507966,0.0009010875467989844,0.006158278668148237,0.390495879585154,5.833333132396174,104.99999899848368
6,6.0,-3.577008560689178e-25,-7.690535116676483e-25,612.0091416467444,485.8798038101341,65.3332437151373,0.8158577983033216,7.534823626599582,0.0009011021988060341,0.006159205920842866,0.3905265475237932,5.833332761365721,104.99999638313113
7,7.0,-3.4886949119658635e-25,-7.587873568792522e-25,632.8411948753579,488.3415555753781,65.33314640620524,0.8158581799710033,7.548419852686968,0.0009011253255704451,0.006160649331606074,0.39057464817248233,5.83333195341865,104.99998970458299
8,8.0,-3.402561669048115e-25,-7.485593528511373e-25,653.2979112587332,491.1308713578029,65.33298117821387,0.8158588288044125,7.5655816452055875,0.0009011593513603798,0.00616274350426649,0.3906449651817578,5.833330385336363,104.9999751615357
9,9.0,-3.318555001552953e-25,-7.383738732421884e-25,673.3860531102114,494.2351490251715,65.33271960132518,0.815859856546749,7.586498457722025,0.0009012068418342517,0.0061656255645241445,0.39074247442089555,5.833327595337145,104.99994693605453
10,10.0,-3.236622410756597e-25,-7.282350524431243e-25,693.112260500826,497.6421347234658,65.33232748648217,0.8158613970244593,7.611310233412291,0.0009012704648551467,0.006169432465484482,0.3908722562595157,5.8333229570976535,104.9998967160686
11,11.0,-3.1567126951643222e-25,-7.181467948185545e-25,712.4830536750492,501.3399140900139,65.33176482047394,0.8158636059226727,7.640114481236859,0.0009013529570194532,0.006174298813410143,0.3910394221552332,5.833315654910687,104.99981322775776
12,12.0,-3.078775917244556e-25,-7.0811278361071275e-25,731.504835382384,505.3169037355298,65.33098577807712,0.8158666601265037,7.672972419158324,0.0009014570951223757,0.006180355134189811,0.3912490535361649,5.8333046604236225,104.99968178839237
13,13.0,-3.0027633714548126e-25,-6.981364895064974e-25,750.1838931059284,509.5618430258787,65.32993879823218,0.8158707566841157,7.709914306926163,0.0009015856718868251,0.006187726512485309,0.3915061512428941,5.833288711288322,104.9994838876252
14,14.0,-2.928627553505866e-25,-6.882211788847078e-25,768.5264011914993,514.0637861514055,65.32856671309774,0.8158761114427284,7.750944075194714,0.0009017414753809283,0.0061965315457441295,0.3918155940484976,5.833266291958659,104.99919680318979
15,15.0,-2.856322130704648e-25,-6.783699217668273e-25,786.5384228948287,518.812094447018,65.32680692031366,0.8158829574047989,7.796043343263765,0.000901927271634513,0.00620688156387766,0.39218210499128536,5.833235616790798,104.99879325525586
16,16.0,-2.7858019132043257e-25,-6.685855994930156e-25,804.225912366665,523.7964289237818,65.32459159005107,0.8158915428479555,7.845174905026753,0.0009021457900336686,0.00621888007247062,0.392610224430515,5.833194615532155,104.99824110223437
17,17.0,-2.7170228260298963e-25,-6.588709121398849e-25,821.5947165911783,529.0067429823791,65.32184789954287,0.8159021292485926,7.898285751922703,0.0009023997111277192,0.006232622383247044,0.3931042888787781,5.833140921227644,104.99750307957879
18,18.0,-2.6499418817963002e-25,-6.492283856918434e-25,838.6505772871868,534.4332752902243,65.31849828879731,0.8159149890453715,7.9553096925993945,0.0009026916565288803,0.006248195400509362,0.3936684147857866,5.833071860525829,104.99653658209759
19,19.0,-2.584517154072647e-25,-6.39660378974619e-25,855.3991327771525,540.0665428125031,65.31446073210475,0.8159304032753081,8.016169621272814,0.000903024180624525,0.006265677536605833,0.39430648655350264,5.8329844463313485,104.99529348946491
20,20.0,-2.520707751669418e-25,-6.3016909034288715e-25,871.8459197848252,545.897334059808,65.30964902145631,0.8159486591095262,8.080779480866024,0.000903399763838879,0.0062851387328457875,0.39502214813030484,5.832875372751502,104.99372003396428
21,21.0,-2.45847379428082e-25,-6.207565641124664e-25,887.996375098767,551.9167026472359,65.30397305941821,0.8159700473110832,8.149045962095023,0.000903820807205102,0.006306640565850112,0.39581879761323663,5.832741012306137,104.99175670952704
22,22.0,-2.397776386400388e-25,-6.114246968938163e-25,903.8558375231504,558.1159604765534,65.2973391508216,0.8159948596616732,8.220869965078034,0.0009042896282455318,0.006330236426730644,0.3966995846378108,5.8325774149793626,104.98933822151047
23,23.0,-2.3385775929059145e-25,-6.0217524364789915e-25,919.429549655498,564.4866713078227,65.28965029758213,0.8160233863539241,8.296147860854127,0.0009048084577888277,0.006355971752697587,0.39766740983572924,5.832380309247969,104.98639346962852
24,24.0,-2.280840415388812e-25,-5.930098235258715e-25,934.7226596130204,571.020644510279,65.28080649279873,0.8160559133731973,8.374772577819966,0.0009053794376385803,0.006383884300862432,0.3987249260963859,5.832145104901254,104.98284556646344
25,25.0,-2.224528769045012e-25,-5.839299255079514e-25,949.7402227310167,577.7099289515533,65.27070501185975,0.8160927198862981,8.45663453560906,0.0009060046189808625,0.006414004454228589,0.3998745413416091,5.831866897499896,104.97861188822256
26,26.0,-2.169605128992277e-25,-5.749367653376461e-25,964.4876584081289,584.5465627310517,65.25924309630011,0.8161340677057582,8.54161723056347,0.0009066858645748737,0.006446351747991953,0.4011182609051551,5.8315405604223205,104.97360415499813
27,27.0,-2.1160375497752416e-25,-5.660317288314976e-25,978.9693824539676,591.5233172972837,65.24631144169177,0.8161802215440842,8.629613792086731,0.0009074251307098533,0.006480946485632986,0.40245816769754145,5.831160513731093,104.96773008760177
28,28.0,-2.0637925528167454e-25,-5.572159465644319e-25,993.1901819433807,598.6329244806888,65.23180088891048,0.8162314247330621,8.720511485901524,0.0009082241931035969,0.006517798985129947,0.4038959633693726,5.830720953409379,104.96088924715967
29,29.0,-2.0128374861561153e-25,-5.484904395890189e-25,1007.1547576866279,605.8683325283196,65.21560066824446,0.8162879036833426,8.814197639207157,0.0009090847359372875,0.006556913581648343,0.40543312607073023,5.830215792737227,104.95297716136884
30,30.0,-1.9631405040023845e-25,-5.398561241563008e-25,1020.8677257889083,613.2227006556517,65.19759865713448,0.8163498654910624,8.910560064437849,0.0009100083526065364,0.006598288989297232,0.40707091748903595,5.829638672889463,104.94388426927009
31,31.0,-1.9146705467927744e-25,-5.313138162696472e-25,1034.3336191819574,620.6893937247954,65.17768162907285,0.8164174956147969,9.009487417525207,0.0009109965467475154,0.006641918660399713,0.4088103902768844,5.828982974376457,104.93349611201035
32,32.0,-1.8673973217463084e-25,-5.228642360769666e-25,1047.55688912786,628.2619770468393,65.15573549331387,0.816490955629241,9.110869499370175,0.0009120507334926012,0.0066877911395156996,0.41065239576455514,5.828241829212264,104.92169353877622
33,33.0,-1.8212912839021613e-25,-5.145080121064901e-25,1060.5419066952927,635.9342113059549,65.13164552515902,0.8165703810611494,9.214597508100928,0.0009131722409161258,0.006735890410005895,0.4125975918676276,5.827408133701129,104.90835292582076
34,34.0,-1.7763236176320087e-25,-5.062456853512388e-25,1073.2929642084696,643.7000476028072,65.10529658667632,0.8166558793123193,9.320564248709118,0.0009143623116361889,0.006786196231393266,0.4146464511137214,5.8264745617398495,104.89334640662032
35,35.0,-1.732466218615258e-25,-4.980777132071528e-25,1085.814276669167,651.5536226147133,65.07657333779063,0.8167475276737047,9.428664305799177,0.000915622104543159,0.006838684466173411,0.4167992687241408,5.825433578540094,104.87654211131729
36,36.0,-1.6896916762657594e-25,-4.900044732697289e-25,1098.10998315226,659.4892538699248,65.04536043774793,0.8168453714341547,9.53879418443832,0.0009169526966295405,0.006893327395058395,0.4190561706963421,5.824277454681244,104.8578044137217
37,37.0,-1.6479732565983644e-25,-4.82026266993867e-25,1110.1841481752847,667.5014351333568,65.01154273700986,0.816949422086706,9.650852423444334,0.0009183550848994036,0.006950094019918307,0.42141712184188607,5.822998280410685,104.8369941842624
38,38.0,-1.6072848855236227e-25,-4.7414332322147495e-25,1122.0407630425893,675.5848319010746,64.97500545968089,0.8170596556348618,9.76473968488198,0.000919830188338613,0.007008950353918919,0.42388193374206057,5.821587980114662,104.81396904739233
39,39.0,-1.567601132558976e-25,-4.66355801581216e-25,1133.6837471646618,683.7342770008659,64.935634376606,0.8171760110008311,9.880358823046548,0.0009213788499297303,0.00706985969854899,0.42645027258983575,5.820038326888843,104.78858364206393
