,t,D1,D2,S1,S2,Q1,Q2,I,x1,x2,x3,C
0,0.0,4.3787587993608596e-24,8.757517598727738e-24,325.5090005911396,325.5090005911396,5.918345465293448,30.126376858398622,5.105543016988826,0.026140380246982793,0.004186545273930837,0.26548823688341894,7.222222222222222
1,1.0,4.270646952278631e-24,8.648059895821406e-24,319.6441373774458,325.45584164240677,8.178697343589326,28.263192645022965,5.105505837948814,0.026140379955848968,0.004186544812648295,0.265488222169881,6.758303464616033
2,2.0,4.1652044450229975e-24,8.538668657457328e-24,313.8849464986225,325.29892612406724,10.214335420666274,26.580415477121477,5.105258019926522,0.026140375795160774,0.004186538297184001,0.26548801299377345,6.3405194941301435
3,3.0,4.0623653697701646e-24,8.429407331049263e-24,308.22952396750674,325.0420102864243,12.05565571761773,25.06054968416274,5.104620838472617,0.026140358511953555,0.004186511579701733,0.26548714911235616,5.96431083036072
4,4.0,3.962065443677177e-24,8.32033619059196e-24,302.67600001225713,324.6887487947022,13.726538118282654,23.687962996345167,5.103446090217174,0.02614031391518187,0.004186443557246729,0.26548493341990426,5.625607621062762
5,5.0,3.864241970470128e-24,8.211512453670543e-24,297.2225385183601,324.2426970927332,15.24656900239123,22.448627919375525,5.101611969906466,0.02614022377251459,0.0041863079277768755,0.2654804824467999,5.320762257952258
6,6.0,3.768833802250485e-24,8.1029903956082e-24,291.8673364605991,323.7073137529183,16.6322703034457,21.329921261472137,5.099019463447231,0.02614006658798897,0.004186074667880328,0.2654727696786738,5.046496847306298
7,7.0,3.675781301566887e-24,7.994821460353022e-24,286.60862332368805,323.0859628080674,17.897844145189982,20.320461616504026,5.0955892152938915,0.026139818270417635,0.004185711260197714,0.26546066232898585,4.799860452952052
8,8.0,3.585026304235059e-24,7.887054367510898e-24,281.4446605240288,322.3819160355377,19.055658953520503,19.409973021106,5.0912588043208,0.026139452708393743,0.00418518371031044,0.2654429525438003,4.578193123744742
9,9.0,3.496512082959737e-24,7.779735215680058e-24,276.3737408358609,321.59835519236907,20.116586793253084,18.58916812379054,5.085980376423421,0.02613894226387015,0.0041844573829356475,0.2654183837728345,4.379095008749479
10,10.0,3.41018331179201e-24,7.672907582272115e-24,271.3941878245168,320.7383742012021,21.09024949740109,17.84964656837438,5.079718587072428,0.026138258195113808,0.00418349768400791,0.26538567296686083,4.200399459107336
11,11.0,3.325986031440383e-24,7.566612619968215e-24,266.50435528859555,319.8049812870563,21.985205745789305,17.183805697158284,5.072448813517859,0.02613737101835121,0.004182270611465317,0.26534352917072757,4.040149371121695
12,12.0,3.243867615389177e-24,7.460889150016525e-24,261.70262671091774,318.8011010684669,22.809098087405644,16.584761485731615,5.064155601465308,0.026136250816182337,0.004180743194333738,0.26529066900412573,3.8965762299556266
13,13.0,3.1637767369427977e-24,7.355773752257349e-24,256.9874147214888,317.72957659569266,23.568771552914818,16.046278228217602,5.054831316666226,0.026134867499765915,0.004178883837192266,0.265225829460245,3.768081468800878
14,14.0,3.085663337099984e-24,7.251300852121715e-24,252.35716057076147,316.59317134191224,24.270371480961987,15.562705717014941,5.04447497425886,0.02613319103096008,0.0041766625846286366,0.26514777839621323,3.6532198152971014
15,15.0,3.009478593203578e-24,7.147502804755077e-24,247.8103336122493,315.39457115060947,24.919425622001608,15.12892293954013,5.033091222778141,0.02613119160971549,0.004174051318182552,0.2650553230364285,3.550684368852065
16,16.0,2.9351748883781137e-24,7.04440997629886e-24,243.34543079500185,314.13638613811025,25.520913992391673,14.740287515496782,5.020689463030019,0.026128839831342433,0.00417102389662916,0.26494731676966415,3.4592932045004887
17,17.0,2.8627057817329238e-24,6.942050822420397e-24,238.96097616566587,312.8211525523889,26.079328973030076,14.392590206961511,5.007283084350516,0.02612610681768901,0.004167556248912191,0.2648226644838608,3.3779773270457665
18,18.0,2.7920259793092937e-24,6.840451964178469e-24,234.65552037986424,311.45133458921396,26.598727481354153,14.082013933135261,4.992888803028324,0.026122964325743542,0.004163626427714637,0.26468032665021324,3.3057698251158163
19,19.0,2.723091305750996e-24,6.739638261308505e-24,230.42764022263657,310.0293261666631,27.082776592111678,13.805096800506792,4.977526089635537,0.026119384836717396,0.004159214630511183,0.2645193223400635,3.241796095348409
20,20.0,2.655858676678362e-24,6.6396328830087e-24,226.27593813769832,308.55745265899543,27.534793665370984,13.558698723121935,4.961216673722747,0.02611534162826729,0.004154303193957296,0.2643387313336721,3.185265023658242
21,21.0,2.5902860717466966e-24,6.5404573763054364e-24,222.1990417652853,307.0379725908361,27.95778181334805,13.339971260464171,4.9439841158250415,0.02611080883217014,0.004148876566614441,0.2641376954586735,3.1354610244025563
22,22.0,2.5263325083704193e-24,6.4421317320739296e-24,218.195603488352,305.4730792925947,28.35446137154564,13.14633034475208,4.92585343802361,0.026105761479462176,0.0041429212642718535,0.263915419277532,3.0917368499254225
23,23.0,2.4639580161089483e-24,6.344674448780289e-24,214.26429998736177,303.8649025172567,28.727297914625815,12.975431608002372,4.906850805429616,0.026100175534800447,0.004136425811491756,0.2636711702275094,3.05350709312394
24,24.0,2.4031236116622336e-24,6.2481025940347405e-24,210.40383180233016,302.21551002127234,29.078527266500533,12.825148048035711,4.887003251966936,0.026094027921546442,0.0041293806724342595,0.26340427830162366,3.020242313354837
25,25.0,2.3437912744534324e-24,6.152431864025257e-24,206.61292290170587,300.5269091106457,29.410177877900875,12.693549803299804,4.866338444680098,0.026087296538890765,0.0041217781735588994,0.2631141353476101,2.9914637241140407
26,26.0,2.2859239227843623e-24,6.0576766409488784e-24,202.89032025843466,298.8010481534587,29.724090893248356,12.578885824571167,4.8448844814844385,0.02607996027213958,0.004113612420301651,0.2628001940486572,2.9667383857995646
27,27.0,2.229485390664407e-24,5.963850048284507e-24,199.23479343532506,297.0398180516551,30.021938145689393,12.479567288232463,4.822669718075382,0.026071998997316454,0.004104879209882385,0.2624619666537826,2.9456748616305233
28,28.0,2.1744404051782816e-24,5.870964004153469e-24,195.64513417673385,295.24505368037904,30.30523834124243,12.394152557413948,4.799722620058698,0.02606339358082681,0.004095575941513658,0.2620990234989252,2.927919285100665
29,29.0,2.1207545643722567e-24,5.779029272824786e-24,192.1201560061468,293.4185352957941,30.575371630335844,12.321333544236005,4.776071637013116,0.02605412587493016,0.004085701525285399,0.2617109913608978,2.9131517996218057
30,30.0,2.0683943156651162e-24,5.68805551438561e-24,188.6586938298843,291.56198991061586,30.8335927362796,12.259923344202333,4.7517450956074425,0.026044178709700813,0.004075256290824849,0.2612975516821942,2.9010833357328036
31,31.0,2.017326934766878e-24,5.598051332628536e-24,185.25960354658113,289.6770926380272,31.081042793687725,12.208845022114575,4.7267711092516995,0.02603353588204781,0.004064241896594694,0.2608584386979146,2.8914526935367464
32,32.0,1.9675205050891373e-24,5.509024321205417e-24,181.92176166210618,287.7654680045916,31.318760031488807,12.167121440719546,4.701177502087362,0.026022182142290348,0.004052661240529564,0.26039343749153215,2.884023901208779
33,33.0,1.9189438976323427e-24,5.420981108095956e-24,178.6440649096338,285.8286912327203,31.547689419447345,12.133866033899201,4.674991745405003,0.026010103178718786,0.0040405183725717,0.25990238200226556,2.878583823266328
34,34.0,1.8715667513377128e-24,5.333927398438996e-24,175.42542987467982,283.8682894931662,31.76869138358829,12.108274435718299,4.648240904823811,0.025997285600513807,0.004027818409547454,0.25938515300335924,2.8749399948506835
35,35.0,1.8253594538950547e-24,5.247868015775738e-24,172.26479262507402,281.8857431279413,31.98254968419536,12.089616885180215,4.620951596781465,0.02598371691934417,0.004014567452724377,0.25884167606752045,2.872918660566972
36,36.0,1.7802931230025165e-24,5.162806941757218e-24,169.16110834607804,279.8824868439695,32.189978539844226,12.077231334215561,4.593149953068674,0.02596938552991658,0.004000772508301329,0.25827191953307016,2.8723629984967443
37,37.0,1.7363395880801805e-24,5.078747354373593e-24,166.11335098115975,277.85991087772004,32.391629072001166,12.070517193333071,4.564861592304527,0.025954280689707853,0.003986441411009584,0.2576758924819541,2.8731315118583
38,38.0,1.6934713724457568e-24,4.995691664769772e-24,163.12051287928307,275.8193621310399,32.588095136875566,12.06892965557828,4.536111597389953,0.025938392498069403,0.003971582750939553,0.25705364273863635,2.8750965724658464
39,39.0,1.6516616759663052e-24,4.913641552719549e-24,160.181604449903,273.76214527843075,32.779918604309415,12.071974545042721,4.506924498100474,0.02592171187485713,0.00395620580365483,0.256405254897016,2.878143101648369
40,40.0,1.6108825999584241e-24,4.832596237896712e-24,157.29556295378907,271.6895484642536,32.96760052833304,12.079197113406178,4.477324936562521,0.025904231955015424,0.003940321334247858,0.25573089366351004,2.882165850267197
41,41.0,1.5711103770368337e-24,4.752557684468467e-24,154.46152206847364,269.6027678827952,33.15158528127045,12.090198244422236,4.447335585867162,0.02588594393715405,0.003923938940796618,0.2550306684762831,2.8870730899858885
