,t,D1,D2,S1,S2,Q1,Q2,I,x1,x2,x3,C,G
0,0.0,-3.2963002251921286e-26,-6.592600450290218e-26,353.65000008045257,353.65000008045257,65.445463328,26.345984778119174,5.5469289177560155,0.0284002760589108,0.004548481712559932,0.2884403037233128,5.84334494,105.18020892
1,1.0,263.36093839112664,3.2782950495232885,2418.3926942113485,372.3635083250473,65.47269219945092,26.34617646125174,5.560016842314196,0.028400377190292255,0.004548641869241408,0.28844541367093385,5.843388795873607,105.18020892
2,2.0,256.85853599414344,9.618812717664953,2374.8192525220734,408.83295029375716,65.63176752278432,26.34877945965358,5.634125582746358,0.02840173806283509,0.004550771035198066,0.28851380338660715,5.843982346533668,105.2239696062604
3,3.0,250.51668309947053,15.644227539799061,2356.804997849745,444.0918474818246,65.93841272324278,26.357711787506236,5.771081995993663,0.028406353173727694,0.0045578761185230765,0.2887440614324725,5.846009991571369,105.47962637590335
4,4.0,244.33141525283082,21.36623496590379,2314.3412590599028,478.1692434654629,66.38069668200377,26.37653021024326,5.960520488280675,0.02841596518707382,0.0045724125314632645,0.2892197913451345,5.850260032837561,105.9724490194973
5,5.0,238.29886596883708,26.796145134988265,2272.6426314617092,510.8744588801699,66.94734856251398,26.40828535822481,6.193011838088474,0.028432004904896547,0.004596222837829014,0.2900070022173433,5.857392427129295,106.68326252464891
6,6.0,232.41526442399646,31.944894228815443,2231.695329003547,542.2458794838176,67.62773103883738,26.455574708582613,6.460271807805136,0.02845562240104761,0.004630618200147679,0.29115609908100926,5.867951842627784,107.59395304689745
7,7.0,226.6769329345413,36.82305639198302,2191.485814209469,572.3209529494211,68.4118113557128,26.52059144528896,6.755160737915469,0.028487725074144855,0.004676466031277387,0.2927041691080973,5.8823796701757765,108.68742488384578
8,8.0,221.08028473104054,41.44085517789265,2176.77480938802,601.3608228183532,69.29013111416614,26.60516907252687,7.071691394839551,0.028529013147170074,0.004734268843855026,0.29467708236163515,5.901025032894243,109.94755396453841
9,9.0,215.62182094600394,45.80817424429413,2137.554862168069,629.3901736511572,70.25377832193048,26.710820750454488,7.405159627095585,0.028580020358521963,0.004804247402424519,0.2970918092284507,5.924154651887163,111.35913929062414
10,10.0,210.29812978321698,49.93456790385214,2099.041577141723,656.2142409989467,71.29435291555538,26.838776933402183,7.751059858968032,0.028641137829834552,0.0048863920006525854,0.2999578186669097,5.951962220039599,112.90785801738826
11,11.0,205.10588337912822,53.829271496896894,2061.2222206230085,681.8673611268548,72.40394092354099,26.990016342187996,8.105388321475088,0.02871262284374523,0.004980488688268787,0.30327770480157273,5.984576513227583,114.58021004285683
12,12.0,200.04183608152093,57.50121107911998,2024.0842885455736,706.3830238429849,73.57508759969252,27.165294398193645,8.464725951587305,0.028794617680112985,0.005086159203928753,0.3070482936910483,6.0220689661587485,116.36347648426229
13,13.0,195.10282244974073,60.9590130069065,1987.61550247954,729.7938915750105,74.80077240424082,27.365168158850054,8.826161318021141,0.028887167010198347,0.00520289657597788,0.3112616518663143,6.0644605181969276,118.24567649950582
14,14.0,190.28575528167448,64.21101328617416,1951.8038056131138,752.1318182439157,76.0743853377699,27.59001832571476,9.187223507704624,0.02899023298243128,0.0053300952130343575,0.3159059544553881,6.111727824644362,120.21552707824416
15,15.0,185.58762390949585,67.2652678280378,1941.4112967664728,773.6525457765971,77.38970225551436,27.84006896576136,9.5459820535887,0.02910370967841093,0.005467078095256077,0.32096629448945213,6.163808879752106,122.26240500713017
16,16.0,181.00549147190858,70.12955633920868,1906.4321127873943,794.3752750268513,78.74087305964431,28.11540349861684,9.901252581700906,0.029227445349893313,0.005613136378818912,0.3264258964815891,6.220608125916478,124.37630719636236
17,17.0,176.53649403385086,72.81139905966695,1872.0831793160582,814.1000930921017,80.12238493315589,28.41598229116935,10.251587822322522,0.029361250259893806,0.005767540751724492,0.3322665078247691,6.282001037439125,126.54783170299979
