,t,D1,D2,S1,S2,Q1,Q2,I,x1,x2,x3,C,G
0,0.0,-3.2963002251921286e-26,-6.592600450290218e-26,353.65000008045257,353.65000008045257,65.445463328,26.345984778119174,5.5469289177560155,0.0284002760589108,0.004548481712559932,0.2884403037233128,5.84334494,105.18020892
1,1.0,-3.2149243955477933e-26,-6.510202657014073e-26,352.2330535456981,353.6370361345348,65.44546333099889,26.345984777558304,5.546918703309814,0.028400275960489912,0.004548481557044308,0.28844029875530586,5.843344940003747,105.18020892
2,2.0,-3.135557722055333e-26,-6.427855333390514e-26,350.84163743975205,353.59900897575073,65.4454633943835,26.345984765869648,5.546857427844565,0.028400274850007914,0.004548479823107906,0.2884402429991908,5.843344940164967,105.18020892006744
3,3.0,-3.058150528378891e-26,-6.345606215578378e-26,349.4752908652681,353.5368268758199,65.4454637623239,26.34598469888223,5.546701959417491,0.028400270485502137,0.004548473091483426,0.2884400250689421,5.843344941525454,105.18020892296941
4,4.0,-2.9826543946312435e-26,-6.263500646654579e-26,348.1335615953827,353.4513731145661,65.44546500835818,26.34598447501812,5.546416537247149,0.028400259433814957,0.004548456265475387,0.2884394764504905,5.843344947593277,105.18020894745817
5,5.0,-2.909022117682059e-26,-6.181581668707482e-26,346.81600581621353,353.34350670789814,65.4454681472822,26.34598391876196,5.545971769369586,0.028400237287729557,0.004548422995783044,0.28843838372354574,5.843344966610013,105.18020905667899
6,6.0,-2.837207673530711e-26,-6.099890110812545e-26,345.5221878847835,353.21406309985593,65.44547471739362,26.345982770739557,5.545343762358008,0.028400198853042385,0.0045483660357974595,0.28843649897973783,5.843345014264158,105.18020939898022
7,7.0,-2.7671661824810743e-26,-6.0184646731949e-26,344.2516801125042,353.06385481031214,65.44548683802611,26.345980683080438,5.544513365466012,0.028400138309621993,0.0045482775374584075,0.2884335486846473,5.843345116649787,105.18021025675485
8,8.0,-2.698853877007365e-26,-5.937342007937558e-26,343.0040625738606,352.89367204102336,65.44550724656197,26.34597721895802,5.543465513915312,0.028400049349938693,0.004548149296309166,0.2884292411965753,5.8433453133120175,105.18021209969616
9,9.0,-2.632228071903305e-26,-5.856556796558034e-26,341.7789229360878,352.7042832463576,65.44553931848313,26.345971855384555,5.542188658170725,0.028399925298062477,0.0045479729531491845,0.2884232731250847,5.843345660255834,105.1802156396163
10,10.0,-2.5672471362281936e-26,-5.776141824758267e-26,340.57585630461125,352.4964356760573,65.44558707349493,26.34596398849079,5.540674267875097,0.028399759211702146,0.004547740158623119,0.28841533468656844,5.843346232823808,105.18022188460502
11,11.0,-2.5038704666142945e-26,-5.696128054602352e-26,339.3944650795237,352.2708558965972,65.44565517031994,26.34595294064824,5.538916400695404,0.028399543969501725,0.004547442706192092,0.28840511419243375,5.843347128372497,105.18023219082853
12,12.0,-2.4420584616051147e-26,-5.616544694308896e-26,338.2343588194798,352.0282502960646,65.445748892383,26.3459379689014,5.536911327669284,0.02839927234551418,0.004547072638184567,0.28839230178744923,5.843348468697544,105.18024831070495
13,13.0,-2.3817724968121792e-26,-5.537419265774696e-26,337.0951541106479,351.7693055756107,65.4458741262812,26.34591827427078,5.534657207766229,0.028398937072528274,0.004546622328991636,0.28837659254070763,5.843350402174099,105.18027243655578
14,14.0,-2.3229748978967035e-26,-5.458777671659445e-26,335.976474410045,351.49468927946555,65.44603733530168,26.34589301149145,5.532153805615455,0.028398530895136512,0.004546084548440498,0.28835768895664915,5.843353105614483,105.18030723913378
15,15.0,-2.2656289238246068e-26,-5.380644254231242e-26,334.87794998964364,351.20505014442347,65.44624552661475,26.345861299227437,5.5294022458113075,0.0283980466163447,0.004545452510580024,0.28833530308163036,5.84335678574784,105.1803559010607
16,16.0,-2.2096987399012838e-26,-5.303041859224201e-26,333.7992177740612,350.9010186296057,65.44650621744734,26.3458222300084,5.526404800298896,0.02839747713474467,0.004544719906752904,0.28830915811196584,5.8433616804452955,105.18042214346113
17,17.0,-2.1551493953770024e-26,-5.225991894884774e-26,332.73992122051897,350.58320736496495,65.44682739840697,26.34577488006652,5.523164704073242,0.028396815476168055,0.004543880928030336,0.2882789896812573,5.843368059618817,105.18051024801532
18,18.0,-2.1019468017578055e-26,-5.1495143889396375e-26,331.69971020258436,350.252211586996,65.44721749537374,26.345718318846338,5.51968599549505,0.028396054819923543,0.004542930278171926,0.28824454684707596,5.843376225820379,105.18062507313871
19,19.0,-2.050057711633633e-26,-5.0736280436525346e-26,330.6782408958622,349.9086095648961,65.44768533064924,26.34565161807503,5.515973378045236,0.028395188520320132,0.004541863178729809,0.28820559281988084,5.843386514556744,105.18077206476683
20,20.0,-1.9994496980094258e-26,-4.998350289023057e-26,329.67517566555927,349.552963017367,65.44824008390198,26.34557386031333,5.512032100741828,0.028394210124117785,0.00454067536771068,0.28816190547256487,5.8433992943370185,105.18095726202138
21,21.0,-1.950091134128206e-26,-4.923697334179999e-26,328.6901829558856,349.1858175202082,65.44889125335013,26.345484146930684,5.507867854798706,0.028393113384464062,0.004539363093003363,0.28811327766391065,5.843414966471992,105.18118729806633
22,22.0,-1.9019511737762235e-26,-4.8496842170215244e-26,327.7229371812741,348.8077029048474,65.44964861753763,26.345381605467814,5.503486684416448,0.028391892271802593,0.004537923101601231,0.2880595174047785,5.843433964645384,105.18146939649586
23,23.0,-1.8549997320606714e-26,-4.776324852153956e-26,326.77311861940393,348.4191336479514,65.4505221979886,26.34526539636566,5.498894909866816,0.028390540982176134,0.004536352625494607,0.28800044789196694,5.843456754277725,105.18181136361692
24,24.0,-1.809207466651141e-26,-4.703632077180731e-26,325.8404133060226,348.0206092522621,65.45152222296326,26.345134719052503,5.494099061268985,0.028389053943291533,0.004534649364975084,0.2879359074313019,5.843483831703732,105.18222157699905
25,25.0,-1.764545759474702e-26,-4.6316176973916153e-26,324.92451293154545,347.61261461881685,65.45265909248859,26.344988817391684,5.489105821662284,0.028387425818666046,0.004532811469979046,0.2878657492685739,5.843515723183789,105.18270897066716
26,26.0,-1.720986698856361e-26,-4.5602925289024115e-26,324.0251147394354,347.19562041069986,65.45394334479263,26.3448269845003,5.483921978159802,0.028385651510132257,0.0045308375199986,0.2877898413443779,5.843552983769639,105.18328301730821
27,27.0,-1.6785030620945266e-26,-4.4896664402931543e-26,323.14192142633516,346.7700834084925,65.45538562423563,26.344648566955968,5.478554380124508,0.02838372615894256,0.004528726503003309,0.28770806598669574,5.843596196043652,105.1839537078535
28,28.0,-1.6370682984625307e-26,-4.4197483927925407e-26,322.2746410439421,346.33644685757986,65.45699665080102,26.344452968413453,5.473009903446001,0.028381645145682283,0.0045264777937429,0.28762031955312456,5.843645968750213,105.18473152878573
29,29.0,-1.5966565126265797e-26,-4.350546479054687e-26,321.4229869026053,345.89514080747915,65.45878719118357,26.34423965265701,5.467295420115202,0.028379404089172867,0.004524091131738465,0.2875265120329809,5.843702935336699,105.18562743750383
30,30.0,-1.5572424484705603e-26,-4.282067960573077e-26,320.58667747662275,345.4465824433528,65.46076803149163,26.34400814611664,5.4614177723981605,0.028376998844522452,0.004521566599216065,0.28742656661805593,5.84376775242053,105.18665283606059
31,31.0,-1.5188014733184262e-26,-4.214319303775482e-26,319.76543631121734,344.99117640987083,65.46294995156288,26.343758039878487,5.455383751000478,0.028374425500460286,0.004518904599190562,0.2873204192495298,5.843841098197617,105.18781954356955
32,32.0,-1.4813095625444797e-26,-4.147306214841965e-26,318.9589919311635,344.52931512758397,65.46534370087929,26.343488991220646,5.449200076692759,0.02837168037607314,0.00451610583386844,0.2872080181474666,5.843923670806436,105.18913976755711
33,33.0,-1.44474328456306e-26,-4.081033673287659e-26,318.1670777510506,344.0613791019665,65.46795997605562,26.343200724706143,5.442873384935845,0.028368760017045934,0.004513171283504771,0.2870893233283499,5.84401618666081,105.19062607451585
34,34.0,-1.4090797867995802e-26,-4.015505964234121e-26,317.3894319941509,343.5877372154098,65.47080939958188,26.34289303287076,5.436410212929551,0.028365661191581987,0.004510102185788362,0.2869643061160891,5.844119378743782,105.19229135989458
35,35.0,-1.374296780701167e-26,-3.950726709849349e-26,316.6257975979752,343.1087470338422,65.47390250065477,26.342565776510032,5.429816989282269,0.028362380885786048,0.004506900015905317,0.28683294864656783,5.844233994930863,105.19414881738808
36,36.0,-1.340372527791401e-26,-3.886698899434879e-26,315.87592212898534,342.6247550949231,65.47724969717339,26.342218884635177,5.423100025440459,0.02835891629890506,0.004503566467323319,0.28669524337487573,5.84436079629885,105.19621190875553
37,37.0,-1.3072858270780595e-26,-3.8234249183696e-26,315.13955771080333,342.13609717375374,65.48086127862844,26.34185235410439,5.41626550849966,0.028355264838471186,0.004500103433212269,0.2865511925841784,5.844500555405056,105.1984943333793
38,38.0,-1.2750160015837779e-26,-3.760906576206501e-26,314.4164609399565,341.6430985615137,65.48474739091495,26.341466248955463,5.409319495818815,0.028351424115119792,0.004496512988729048,0.2864008078985956,5.844654054625554,105.20100999729101
39,39.0,-1.2435428847244675e-26,-3.699145133725154e-26,313.7063927972267,341.14607434492046,65.48891802268717,26.341060699487205,5.402267911030087,0.028347391937254395,0.004492797374185214,0.2862441098046277,5.844822084540976,105.20377298325997
40,40.0,-1.2128468077054159e-26,-3.638141328909419e-26,313.0091185685681,340.64532966828114,65.49338299260744,26.340635901108595,5.395116540921135,0.028343166305721333,0.004488958978968758,0.28608112718133133,5.8450054423290725,105.20679752173757
41,41.0,-1.1829085872267564e-26,-3.5778954019761667e-26,312.3244077674241,340.14115998943,65.49815193776837,26.340192112978702,5.387871033242426,0.028338745408435485,0.004485000326276167,0.2859118968403268,5.845204930194066,105.21009796192331
42,42.0,-1.153709513493363e-26,-3.518407119485314e-26,311.65203405845114,339.6338513296406,65.50323430322842,26.339729656461234,5.380536895307344,0.028334127614984113,0.004480924058648232,0.28573646307666295,5.845421353837227,105.21368874349318
43,43.0,-1.125231338520041e-26,-3.4596757975618493e-26,310.9917751826039,339.1236805176748,65.50863933260538,26.339248913416352,5.37311949327147,0.028329311471231033,0.004476732924297971,0.28555487723134293,5.8456555209727,105.21758436907008
44,44.0,-1.0974562647256254e-26,-3.4017003242585505e-26,310.3434128835674,338.61091542808083,65.51437605967052,26.33875032435072,5.365624051991515,0.028324295693940606,0.004472429764214392,0.28536719726613263,5.8459082398917666,105.2217993775086
45,45.0,-1.0703669338077908e-26,-3.34447918108792e-26,309.70673283550116,338.0958152138872,65.52045330088937,26.3382343864457,5.358055655378103,0.028319079165437598,0.004468017500022598,0.2851734873511097,5.846180318078327,105.2263483180518
46,46.0,-1.0439464158933168e-26,-3.288010463750346e-26,309.0815245720887,337.57863053378605,65.52687964885419,26.337701651482007,5.350419247167018,0.02831366092831692,0.004463499122577644,0.28497381746527306,5.846472560877649,105.23124572540988
47,47.0,-1.0181781989550542e-26,-3.232291902085584e-26,308.4675814168482,337.05960377396576,65.53366346655778,26.337152723678045,5.3427196320446955,0.028308040180214364,0.004458877681268113,0.2847682630104206,5.846785770220215,105.23650609579768
48,48.0,-9.930461784906104e-27,-3.177320879272481e-26,307.8647004146981,336.53896926467587,65.54081288245702,26.336588257457688,5.334961477070998,0.02830221626864834,0.004454156274003291,0.2845569044384,5.847120743401753,105.24214386396388
49,49.0,-9.685346474555556e-27,-3.1230944503027684e-26,307.27268226474933,336.01695349166545,65.54833578627861,26.33600895516233,5.327149313350858,0.028296188685940134,0.004449338037857291,0.2843398268917533,5.847478271920422,105.24817338123155
50,50.0,-9.446282864456411e-27,-3.06960935975228e-26,306.6913312543077,335.4937753025848,65.55623982551954,26.335415564720492,5.319287537912062,0.028289957064219523,0.004444426140342482,0.2841171198577065,5.847859140371507,105.2546088945676
51,51.0,-9.21312154120463e-27,-3.01686205887374e-26,306.1204551940517,334.96964610849614,65.56453240259917,26.3348088772876,5.311380415753184,0.0282835211705205,0.0044394237712848455,0.2838888768354007,5.848264125399968,105.26146452668712
52,52.0,-8.985716778649185e-27,-2.964848722033523e-26,305.55986535439035,334.4447700805592,65.57322067261843,26.33418972486706,5.3034320820291425,0.02827688090197175,0.004434334135273046,0.2836551950161986,5.84869399471052,105.26875425719942
53,53.0,-8.763926446804107e-27,-2.9135652625146765e-26,305.00937640295524,333.919344342041,65.58231154168769,26.333558977923165,5.295446544347829,0.02827003628108454,0.004429160444654156,0.2834161749768782,5.849149506135075,105.27649190478937
54,54.0,-8.547611923017283e-27,-2.863007347707305e-26,304.4688063432249,333.393559155724,65.5918116657821,26.33291754299514,5.287427685153541,0.028262987451140847,0.0044239059130485835,0.28317192038547634,5.8496314067567985,105.28469111043135
55,55.0,-8.33663800533994e-27,-2.813170413707794e-26,303.9379764542646,332.86759810682616,65.60172745008968,26.3322663603208,5.279379264177058,0.028255734671683082,0.004418573749357615,0.2829225377195207,5.85014043209009,105.29336532162237
56,56.0,-8.130872828036876e-27,-2.7640496793463274e-26,303.41671123155146,332.3416382815371,65.61206504881585,26.33160640147761,5.271304920934879,0.028248278314106656,0.0044131671522377805,0.28266813599637824,5.850677305315494,105.3025277776216
57,57.0,-7.930187779190932e-27,-2.715640159663106e-26,302.9048383288797,331.815850441271,65.62283036541254,26.330938667048002,5.263208177262549,0.028240618857355758,0.0044076893050167005,0.2824088265154173,5.851242736568519,105.31219149567889
58,58.0,-7.734457420353743e-27,-2.667936678851478e-26,302.4021885013264,331.29039919271867,65.63402905319896,26.330264184315094,5.255092439868866,0.028232756883722763,0.004402143371025922,0.28214472261167317,5.851837422281023,105.32236925823335
59,59.0,-7.543559408187077e-27,-2.62093388268751e-26,301.90859554926135,330.76544315382074,65.64566651634644,26.329584004994445,5.2469610029003775,0.02822469307475051,0.004396532489327424,0.28187593942070344,5.852462044574031,105.33307360105842
60,60.0,-7.35737441805578e-27,-2.574626250462866e-26,301.42389626338854,330.2411351157268,65.65774791119748,26.328899203006472,5.238817050506197,0.028216428207237403,0.004390859770810785,0.2816025936543006,5.853117270700389,105.34431680233256
61,61.0,-7.17578606951802e-27,-2.529008106439293e-26,300.9479303708022,329.717622200859,65.67027814789427,26.328210872294097,5.230663659395564,0.028207963149343998,0.004385128294639567,0.2813248033867416,5.853803752535967,105.356110872607
62,62.0,-6.998680853671961e-27,-2.4840736308412053e-26,300.4805404820446,329.19504601715823,65.6832618922913,26.32752012468916,5.222503801381121,0.028199298856800226,0.004379341105025903,0.2810426878512377,5.854522126117793,105.3684675456474
63,63.0,-6.825948062315891e-27,-2.4398168704031034e-26,300.0215720391551,328.6735428086056,65.69670356812887,26.32682808783093,5.214340345902205,0.028190436369211813,0.004373501208313379,0.2807563672462576,5.855273011227606,105.38139827012027
64,64.0,-6.657479718870283e-27,-2.3962317484869573e-26,299.5708732646847,328.1532436021133,65.71060735944573,26.32613590313956,5.2061760625234665,0.028181376806464636,0.004367611570349385,0.2804659625514012,5.856057011019239,105.39491420209691
65,65.0,-6.493170511030744e-27,-2.3533120747860825e-26,299.12829511168053,327.6342743508662,65.72497721321075,26.32544472384667,5.198013623404704,0.028172121365225174,0.004361675114128639,0.2801715953524929,5.856874711688249,105.4090261983463
66,66.0,-6.3329177251003384e-27,-2.3110515546291824e-26,298.69369121460863,327.11675607420295,65.73981684215342,26.32475571308523,5.189855605738658,0.02816267131553568,0.004355694717690827,0.2798733876755811,5.857726682182149,105.42374481038848
67,67.0,-6.1766211819650945e-27,-2.2694437978997094e-26,298.2669178412107,326.60080499412294,65.75512972777655,26.32407004204024,5.181704494154119,0.02815302799750211,0.004349673212256041,0.27957146182953,5.858613473949688,105.43908027927868
68,68.0,-6.0241831746720616e-27,-2.228482327583971e-26,297.84783384527816,326.08653266849683,65.77091912353276,26.323388888161528,5.173562683082063,0.02814319281807321,0.004343613380582432,0.27926594025689355,5.859535620727502,105.45504253109438
69,69.0,-5.87550840756375e-27,-2.1881605879613088e-26,297.43630062032065,325.5740461210743,65.78718805815045,26.32271343343971,5.165432479083348,0.028133167247908857,0.004337517955531699,0.2789569453927819,5.860493638362672,105.47164117309502
70,70.0,-5.730503936939455e-27,-2.1484719524491137e-26,297.0321820541243,325.0634479683484,65.80393933909258,26.322044862745884,5.157316103136237,0.02812295281833595,0.004331389618828137,0.2786445995314133,5.861488024669409,105.48888549052809
