,t,D1,D2,S1,S2,Q1,Q2,I,x1,x2,x3,C,G
0,0.0,-3.2963002251921286e-26,-6.592600450290218e-26,353.65000008045257,353.65000008045257,65.445463328,26.345984778119174,5.5469289177560155,0.0284002760589108,0.004548481712559932,0.2884403037233128,5.84334494,105.18020892
1,1.0,263.360938391047,3.2782950498438996,4757.067436269545,393.55976158914615,65.47268928568906,26.34617700929898,5.574841154786908,0.028400491739734145,0.004548823275877545,0.288451201609972,5.843388793494101,105.18020892
2,2.0,256.8585360450829,9.618812505892386,4671.356872962354,471.40250610638657,65.63168376600363,26.348795075475454,5.732936348071438,0.028403394461556535,0.004553364896517951,0.28859707791448685,5.843982166676952,105.18099828289381
3,3.0,250.51668242070187,15.644228361400705,4587.190639650085,546.3123516464307,65.93786596954021,26.357812646233825,6.024989492205388,0.028413239285485392,0.004568521506544471,0.28908826158061124,5.846008104829119,105.19167900018513
4,4.0,244.33141256698275,21.366239160906566,4504.54090208975,618.3697329313059,66.37875562026875,26.376886743982556,6.427886172985883,0.02843372459366135,0.004599500898182537,0.2901021336576435,5.850250980730462,105.22814588692414
5,5.0,238.29886024035744,26.79615442868861,4423.380335462507,687.653123738328,66.94234146273119,26.409203737077554,6.921652504357899,0.028467868028125006,0.004650181397753698,0.2917777948712785,5.857362994152325,105.30451765314832
6,6.0,232.41525485199014,31.944909850838016,4343.682109297053,754.2390925671247,67.61709650891551,26.45752627660238,7.48904567892246,0.028518100360056114,0.004723329215524274,0.29422170172950635,5.867876487041872,105.43253389474185
7,7.0,226.67691883957266,36.823079310271105,4265.419875879236,818.2023506026588,68.39198402419211,26.52423731377229,8.115198501947123,0.028586346923392417,0.004820784586739147,0.2975125395479478,5.882215419838079,105.62177676675368
8,8.0,221.08026528617242,41.440886223996905,4188.567760667242,879.6157952855237,69.25645674585978,26.611380395491963,8.787309519605477,0.02867409850979697,0.004943621462929486,0.30170544801505805,5.900706075892364,105.87987755708542
9,9.0,215.6217957251069,45.80821431034507,4113.100354146701,938.5505506269188,70.20045140260873,26.720695712728908,9.494373124408542,0.02878247301610793,0.005092284159878641,0.3068356793571175,5.923587000028058,106.21270936606255
10,10.0,210.29809806031022,49.93461793300144,4038.99270446504,995.0760055640595,71.21438006881925,26.853651777963666,10.226944512775763,0.028912269019245634,0.00526670403715138,0.3129217618579825,5.951018196287801,106.62456600050504
11,11.0,205.1058445226559,53.8293321771586,3966.2203100711995,1049.2598517890167,72.28911947860756,27.011472858870974,10.976934985181273,0.029064012310252605,0.005466398904381612,0.3199682326812641,5.983089618191799,107.1183275331804
12,12.0,200.0417896249513,57.50128273143906,3894.759111995638,1101.1681217107998,73.41599913084573,27.195162459540253,11.737433666823323,0.029237996292350743,0.005690557504802963,0.32796799601351806,6.0198289904400895,107.69561312745238
13,13.0,195.10276811710398,60.959095585388226,3824.5854858109637,1150.8652265268945,74.58678877003807,27.40552324426436,12.502552224588056,0.02943431703891701,0.005938111121294973,0.33690435559549275,6.061209004760679,108.35692182792161
14,14.0,190.28569299186086,64.21110639493565,3755.676233638521,1198.4139934218042,75.79368584577436,27.643173762912028,13.267289958979303,0.029652903641332967,0.0062077940184877825,0.3467527615481731,6.10715391262798,109.10176208569222
